15:45:16 INFO  : Registering command handlers for SDK TCF services
15:45:20 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\wdj\source\vivado_work\helloworld\helloworld.sdk\temp_xsdb_launch_script.tcl
15:45:29 INFO  : XSCT server has started successfully.
15:45:38 INFO  : Successfully done setting XSCT server connection channel  
15:45:38 INFO  : Successfully done setting SDK workspace  
15:45:38 INFO  : Processing command line option -hwspec C:/Users/wdj/source/vivado_work/helloworld/helloworld.sdk/helloworldip_wrapper.hdf.
16:04:24 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
16:04:26 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BBC8A" && level==0} -index 0' command is executed.
16:04:29 INFO  : FPGA configured successfully with bitstream "C:/Users/wdj/source/vivado_work/helloworld/helloworld.sdk/helloworldip_wrapper_hw_platform_0/download.bit"
16:14:10 WARN  : Given IPC port value is invalid. Using default port 2350
16:14:11 WARN  : Given XMD timeout value is invalid. Using default value of 50000
16:14:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:16 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:16 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:16 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:16 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:16 INFO  : Processor reset is completed for microblaze_0
16:14:16 ERROR : Port COM3 is already in use.
16:14:16 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:17 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:17 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:17 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:17 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:17 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:17 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:17 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:46 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:46 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:46 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:46 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:46 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:46 INFO  : Processor reset is completed for microblaze_0
16:14:47 ERROR : Port COM3 is already in use.
16:14:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:47 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:14:48 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:09 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:09 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:09 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:10 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:10 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:10 INFO  : Processor reset is completed for microblaze_0
16:15:10 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:10 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:10 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:10 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:11 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:11 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:11 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:15:11 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:15 INFO  : Processor reset is completed for microblaze_0
16:26:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:15 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:16 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:16 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:16 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:26:16 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:13 INFO  : Processor reset is completed for microblaze_0
16:27:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:27:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
16:28:23 ERROR : Unexpected error while parsing XMD response ?: com.google.gson.JsonSyntaxException: com.google.gson.stream.MalformedJsonException: invalid number or unquoted string near 
